57,3,2,1,1,1
63,2,2,2,1,2
94,1,1,2,1,1
107,1,1,3,4,3
20,1,1,3,3,1
35,1,2,1,3,1
76,3,2,2,1,2
44,1,1,4,3,3
121,2,1,3,2,1
34,2,2,1,2,2
88,1,1,2,2,2
49,1,2,1,2,2
33,1,2,2,3,2
50,1,2,1,1,1
17,2,1,1,2,1
56,2,2,1,2,2
37,1,2,1,3,2
28,1,1,2,1,1
77,3,2,2,1,2
82,1,2,1,2,2
4,2,4,4,2,3
31,3,3,2,1,2
92,2,1,1,2,1
25,2,1,2,2,2
58,1,2,2,1,2
108,1,1,2,1,1
41,1,1,3,2,2
40,2,1,2,1,1
30,1,1,3,2,1
72,2,2,1,4,3
102,3,1,4,2,3
43,3,2,2,4,3
128,1,1,2,4,3
118,2,1,2,1,1
66,1,1,1,2,1
87,2,2,4,1,3
36,2,2,1,1,1
13,3,3,4,2,3
78,2,1,2,2,2
81,1,2,1,1,1
45,3,1,1,2,1
116,3,1,2,2,2
85,3,2,1,2,2
47,1,4,2,1,3
27,1,4,4,1,3
1,3,2,1,1,1
84,2,2,2,1,2
93,2,1,2,1,1
18,2,2,4,3,3
39,3,2,1,2,2
129,2,2,1,2,2
10,2,1,3,2,2
61,2,4,2,2,3
71,3,1,2,2,2
65,2,3,2,3,2
127,3,1,2,1,1
14,1,2,2,1,2
124,3,3,2,2,2
7,1,2,1,1,1
119,3,1,3,2,1
52,1,2,2,1,2
59,1,1,1,2,1
117,1,3,2,1,2
130,2,1,1,2,1
100,2,3,4,1,3
101,3,3,1,4,3
131,2,3,1,3,1
80,3,1,3,2,2
122,2,2,3,4,3
62,3,1,2,2,2
53,3,2,1,2,2
22,3,1,4,4,3
67,3,3,1,1,1
69,3,3,3,1,1
132,2,2,1,1,1
11,1,2,4,2,3
16,3,2,1,3,1
55,1,4,2,3,3
110,2,4,3,1,3
125,3,4,2,4,3
15,1,3,2,1,1
111,2,3,2,1,2
79,3,2,2,1,2
60,2,1,2,2,2
113,1,1,3,2,2
109,2,2,1,3,2
2,2,1,3,2,2
95,2,3,2,1,1
115,1,2,1,3,2
89,3,1,3,2,1
112,1,1,1,3,1
73,3,1,2,2,2
103,2,2,1,1,1
98,3,3,3,2,2
32,2,3,2,1,2
90,1,2,1,2,2
54,1,1,1,2,1
105,3,2,1,1,1
70,2,2,2,1,2
91,2,3,2,1,1
29,3,3,2,1,2
8,2,4,1,4,3
126,3,1,2,1,1
75,1,2,4,4,3
83,3,1,4,1,3
46,3,4,1,2,3
3,1,4,1,1,3
97,2,1,3,1,1
38,2,1,1,4,3
48,1,3,2,4,3
5,1,3,2,1,1
19,3,2,1,3,1
96,1,1,1,2,1
42,2,2,1,3,1
114,2,2,1,3,1
6,3,2,1,3,2
9,3,1,1,2,1
12,3,4,1,3,3
123,2,1,2,1,1
21,1,2,2,1,2
86,2,2,1,2,2
64,3,4,3,2,3
68,3,3,2,1,1
74,3,2,1,1,1
104,1,1,2,2,2
120,1,1,3,2,1
106,3,1,2,1,1
51,3,1,1,2,1
23,3,2,1,3,2
26,1,1,2,2,2
99,2,2,3,2,2
24,1,2,3,3,2
